review_title,review_text,location,review_score,sentiment,v_scores,polarity
I would recommend and use Destinology again and again 👍,"We have used Destinology before when we went to Thailand and it was amazing, this made it really easy to decide to use them again.",UK,5,2,"{'neg': 0.0, 'neu': 0.767, 'pos': 0.233, 'compound': 0.7902}",0.7902
Joanna was exceptionally knowledgeable…,"Joanna was exceptionally knowledgeable and friendly helping me book my family trip to Thailand, despite my constantly changing requests! As usual the staff at Destinology go one step further than their competitors and I would have no hesitation in recommending Joanna and the wider Destinology company to others who seek exceptional customer service when booking their annual holiday.",UK,5,2,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.858}",0.858
Leesa was brilliant!,Leesa was brilliant! Incredibly attentive with quick response times and didn't mind pulling about 10+ quotes for us to ensure we got our wedding trip right! Booking with Leesa through destinology has been the smoothest experience we have ever had when using a travel agent. She's been great to answer all our queries and is happy to liaise with the hotel and airline to do so. Cannot recommend her enough!,UK,5,2,"{'neg': 0.026, 'neu': 0.791, 'pos': 0.183, 'compound': 0.9321}",0.9321
Lee did an excellent job finding us an…,"Lee did an excellent job finding us an alternative route to Muscat rather then EK and their poor flight times, but more importantly the huge price rise they have introduced so Business class flights were more than the hotel. Anyway would recommend you and use again. We travel a lot so have a lot of experience.",UK,5,2,"{'neg': 0.031, 'neu': 0.78, 'pos': 0.189, 'compound': 0.883}",0.883
Faisal was very knowledgeable and…,"Faisal was very knowledgeable and patient, coming up with numerous options to fit our requirements, whilst being realistic for our wish to travel to a very popular destination at busy time of year, and with short lead in.  The booking process was painless, and now look forward to our holiday!",UK,5,2,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.9097}",0.9097
We use Destinology to book all our…family holidays,We use Destinology to book all our holidays. They provide an excellent service and always take the time to understand what we are looking for and give us a range of options to choose from. Faisal Khan has helped us with the last few years holidays and his communication and attention to detail are exceptional. He will always go above and beyond to make sure the holiday we book is the right choice for us.,UK,5,2,"{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.9169}",0.9169
Craig at Destinology,"Craig at Destinology has booked my last three holidays, he is so knowledgable, replies to any query however small very quickly and I appreciate his help greatly. I will continue using this fantastic service for many years to come, thank you",UK,5,2,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.9294}",0.9294
Booking with Jo,Very prompt responses from Jo Britton. She has been amazing and it’s has been lovely booking with her!,UK,5,2,"{'neg': 0.0, 'neu': 0.67, 'pos': 0.33, 'compound': 0.8356}",0.8356
A big shout out to Craig Robinson who…,"A big shout out to Craig Robinson who has provided fantastic service and support with our family booking to Mauritius. From the word go, Craig has been so friendly and professional.  He always responds immediately to any questions that I have and has been so helpful in organising with the hotel our advance dinner bookings and special birthday celebrations.  I have been extremely impressed by Craig’s local knowledge of the resorts and hotels in Mauritius and feel really confident that I have made the right decision to book with Destinology.  I will certainly be recommending their services to all.  Many thanks Craig.",UK,5,2,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.9816}",0.9816
Amazing Amy!!,Was a pleasure to deal with her as she was so helpful and made sure I would have all the necessary information for the booking.  Thank you Amy!!,UK,5,2,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.9136}",0.9136
Fantastic service,"Gemma was wonderful and helped us find our perfect honeymoon to Mauritius. The attention to detail was notable and no request too much. A bespoke, professional and friendly approach to customer service. This company came highly recommended to me and I would also highly recommend, so much more effective than trawling the internet and only exceptionally good quality holiday packages.",UK,5,2,"{'neg': 0.028, 'neu': 0.65, 'pos': 0.322, 'compound': 0.9723}",0.9723
Trip to NYC,All the arranging was taken over by Georgia we just told her what we wanted and she delivered an excellent package……all the hassle taken out of planning. Brilliant hotel and location for an amazing price x,UK,5,2,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.9062}",0.9062
Gemma Larder at Destinology,"Gemma Larder at Destinology made our booking to Dubai effortless and went way and beyond in finding the right hotel and flights, she even reserved our plane seats and arranged transport from our home, fantastic service!Thank you Gemma",UK,5,2,"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.5983}",0.5983
Felicity was absolutely brilliant,Felicity was absolutely brilliant. She went above and beyond to help us with our trip,UK,5,2,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.7778}",0.7778
Great customer service from Leesa,Great customer service from Leesa - extremely responsive and professional,UK,5,2,"{'neg': 0.0, 'neu': 0.537, 'pos': 0.463, 'compound': 0.7841}",0.7841
Wanted to say thank you to Emma,"Wanted to say thank you to Emma, O'Reilly who was very helpful with our booking, she was patient to answer any questions (lots) I had, and followed up with emails to make sure everything is aligned. to be honest, I didn't know much about destinology, but after speaking to Emma, I was comfortable proceeding with the booking. Sarmilan",UK,5,2,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.8764}",0.8764
Jo  was very pleasant and helpful in…,Jo  was very pleasant and helpful in sorting our holiday requests.,UK,5,2,"{'neg': 0.0, 'neu': 0.461, 'pos': 0.539, 'compound': 0.854}",0.854
Joanne Cottee - deserves a medal,"I cannot thank Joanne Cottee enough for all her patience and assistance, it was a pleasure to speak to her. I’ve been using Destinology for approximately 10 years. They have been consistently excellent, a rarity these days. They are one of the few companies that know the true meaning of customer service.",UK,5,2,"{'neg': 0.035, 'neu': 0.796, 'pos': 0.169, 'compound': 0.8438}",0.8438
Holiday to Dubai. Spoke to Ryan who listened to the type…,"Spoke to Ryan who listened to the type of holiday we wanted to book. He took the time to explore a number of hotel options for our family suggesting hotels he had actually visited and had a wealth of knowledge on their suitability for families. Ryan quickly sent us package quotes along with useful hotel information. He was professional, polite and efficient. This is our second time booking with Destinology. We will certainly be booking with them again next year.",UK,5,2,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.9231}",0.9231
Claire is the best.,"Claire is really approachable, professional and friendly. Her communication is always fast and she never keeps us hanging around. She takes the time to understand what we need and want from a holiday and that’s why we always come back to her. She’s the best.",UK,5,2,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.886}",0.886
From a dream into a reality,"The communication from all staff has been amazing, from calls to emails, I have found them to be polite, professional and extremely helpful in finding the right holiday that accommodates all my requirements. My advisor Christine Power has been amazing, I give her a few ideas and she turns them into reality - my go to travel advisor. All very experienced, knowledgeable and wonderful people as well",UK,5,2,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.9595}",0.9595
thinking outside the box and coming up with a great deal,I phoned Destinology and spoke to Ryan Duggan to see where we could go for a bit of winter sun. I wanted adults only and somewhere I hadn't been in the past. Ryan was very helpful in suggested Doha and came up with a very good price for a fantastic 5* hotel. I liked that Ryan had looked beyond the typical destinations and suggested something different. I can recommend Destinology and applaude their good service.,UK,5,2,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.9523}",0.9523
No current knowledge of hotel,"We booked a ""5* hotel"" through Destinology, which turned out to be at most 3.5*.  On our return I sent a lengthy email to Destinology and asked when they last visited the property.  While they have taken my complaint seriously and have offered me £200 off a future booking, they have not replied on the date of their last visit. I simply do not trust their knowledge of the hotels they are selling, and I think that it is important that travel agents have excellent property knowledge - that is what we are paying for.",UK,1,0,"{'neg': 0.065, 'neu': 0.881, 'pos': 0.054, 'compound': -0.0263}",-0.0263
Fantastic experience,"My parents have used Destinology to book our family holidays in the past so they were first in mind when we were looking to book our honeymoon. Craig made the process so easy and seamless from start to finish. We were also able to get everything booked via email so we didn’t need to spend any time going into travel agents or speaking on the phone which worked really well for us. Craig was great at getting answers to questions we had about our chosen hotel & surrounding area too.Thank you for the amazing service, will definitely use again for future holidays.",UK,5,2,"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.968}",0.968
Excellent personal service,"Jo at Destinology is a true professional. She is my first call when booking luxury holidays and goes above and beyond to ensure that the resorts are perfect for my family,",UK,5,2,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.8934}",0.8934
Stress free booking .,"Submitted my request with details.  Antony come back promptly, as usual,  with appropriate suggestion. Clarified a couple of points . Booked .Stress free - the way we like it !",UK,5,2,"{'neg': 0.078, 'neu': 0.752, 'pos': 0.17, 'compound': 0.5093}",0.5093
Following our enquiry,"Following our enquiry, Ryan Creeney called me within 15 mins and we agreed for him to call back the next day which he did at the exact time. His knowledge and help was superb and really helped make the choices and also saved us money. I would certainly recommend Destinology and Ryan to friends, family and colleagues.Well Done!",UK,5,2,"{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.9583}",0.9583
I was disappointed with their service…,I was disappointed with their service on two occasions. I tried to get a price last year for a trip and they took several days to respond and I had to chase them several times. The price then doubled. I tried again this year and but again they tried to increase the price of the flights by 60% in 24 hours. They then booked us into a double room and after questioning the type of room we were told it was a cliff-facing room which previous guest views advised against as these rooms have no view and little light.  They advertise them as the expert in luxury travel!!,UK,2,0,"{'neg': 0.062, 'neu': 0.912, 'pos': 0.026, 'compound': -0.4738}",-0.4738
Leesa,"I used to book all my holidays through Southall travel for the last four holidays. I’ve booked with this wonderful lady, such a beautiful service right from the start.",UK,5,2,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.9257}",0.9257
They clearly don’t want my money!,"I contacted Destinology three times to enquire about holidays, they said they would send over suggestions and nothing came. When I followed up they said they would check what had happened and send over ideas for holidays and of course, nothing came! I had previously used them and spent 10k on a holiday so you’d think they’d want my business but apparently not! Disappointing.",UK,1,0,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.8237}",0.8237
Great service - thank you Emma O’Reilly,"I booked with Emma O’Reilly. She was super helpful in helping me to find the best options and deals to Mykynos, so much so I went back to her days later to book our annual family holiday with her too. Highly recommend Destinology and booking with Emma!",UK,5,2,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.9577}",0.9577
Amazing service from Chelsea Worthington,Chelsea was really friendly and helpful. She found us a perfect holiday meeting all of our requirements for a great price. She was really approachable and answered all of our questions quickly. Will definitely be going to Chelsea at Destinology to arrange our holidays in the future!,UK,5,2,"{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.9707}",0.9707
Faisal was fantastic,Faisal was fantastic.  Really helpful and came up with a great option for a family holiday.  Super quick response to our initial enquiry and holiday was booked within 24 hours. This is the second time I have used Destinology and they do not disappoint.,UK,5,2,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.9696}",0.9696
Great personal service,"Great personal service, quick to respond and clear comms all the way through. Had some really good options that met my needs and was very happy with the choices and the price, which was better than I could have achieved. Was also just a load of time spent as it’s always a hassle with a big family.",UK,5,2,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.95}",0.95
Great Service!,Always get such a friendly and efficient service and Joanne Robinson has helped us for many years and has become like an old friend!  She knows exactly what we like or dislike and she's never let us down.,UK,5,2,"{'neg': 0.053, 'neu': 0.652, 'pos': 0.295, 'compound': 0.8977}",0.8977
Very happy with the booking process of…,"Very happy with the booking process of our holiday.We were a little undecided at first, but Felicity was patient in getting us to where we wanted to be.All straight forward.Have used Destinology in the past and would again in future.",UK,5,2,"{'neg': 0.03, 'neu': 0.857, 'pos': 0.112, 'compound': 0.5489}",0.5489
5 ***** Service!,"This is my first time using Destinology and it absolutely will not be the last. Gemma Larder was my Personal Travel Consultant and she was absolutely AMAZING! Gemma is super friendly, super knowledgeable and super experienced. Nothing is too much trouble. She listened attentively to all of our needs and delivered the most perfect holiday. Gemma’s suggestion opened up a whole new world to us and I’ve now booked a destination I never would have previously considered. Gemma is a credit to the Destinology team, she went the extra mile and delivered the highest levels of customer service I’ve received in a long time. Gemma I can’t thank you enough, my wife’s special birthday is going to be one to remember thanks to your fabulousness! (Gemma’s extension is 3048)",UK,5,2,"{'neg': 0.017, 'neu': 0.723, 'pos': 0.26, 'compound': 0.9906}",0.9906
Great personal service,We have booked our holidays with Louise at Destinology for many years. She knows what works for us and always comes up with beautiful resorts and hotels. Great personal service and attention to detail.,UK,5,2,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.891}",0.891
Emma O’Reilly,"Emma O’Reilly, was really helpful. She called back when she said she would, and was beyond patient, dealing with our specific requests.The company have provided not only the best price we could find from over 4 other suppliers, but also has a great offer for 24 hour support beyond just booking.We look forward to dealing with you again in future and would highly recommend to others.",UK,5,2,"{'neg': 0.028, 'neu': 0.781, 'pos': 0.191, 'compound': 0.9294}",0.9294
Once you find a good company you stick with them,"Once you find a good company for whatever you need in life, you stick with them, and I have stuck with Destinology for over 12 years and trust them with our yearly getaways to the Indian ocean. They have a great team and I have never had any issues with Destinology as a company.  Everything is always handled swiftly and professionally.  I will undoubtedly keep returning.",UK,5,2,"{'neg': 0.026, 'neu': 0.808, 'pos': 0.166, 'compound': 0.8885}",0.8885
First class service,Lady who dealt with our booking was first class,UK,5,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
"Timely, responsive, appropriate, advice","Second time to use Destinology - first time was a great holiday in Dubai. Really helpful advice, eg stay on x side of the island in August to avoid the strong winds on the other side which would mean you wear a coat in the evenings. And: you don’t need the family suite for a family of 4, get two superior rooms, we will link them and you get privacy and it’s cheaper!Etc etc lots of similar examples and patient responses.A pleasure to deal with.",UK,5,2,"{'neg': 0.022, 'neu': 0.773, 'pos': 0.205, 'compound': 0.9611}",0.9611
Christine Lawford is as always the…,"Christine Lawford is as always the perfect person to book my business travel with , never ever a problem .",UK,5,2,"{'neg': 0.0, 'neu': 0.751, 'pos': 0.249, 'compound': 0.7147}",0.7147
Professional and courteous,"I've worked with Beth over the last couple of weeks to identify the best possible itinerary for the best destination for our wants and needs. We finally booked on Sunday having looked at a number of cost options and locations. Very happy with the professional, timeous and patient customer relationship. Thoroughly recommend.",UK,5,2,"{'neg': 0.0, 'neu': 0.74, 'pos': 0.26, 'compound': 0.9476}",0.9476
Having a good contact person,Being easily able to contact the same travel expert to arrange my trips is very important even though his/her colleagues are equally competent. Talking to the someone who knows one’s particular likes and dislikes makes life so much easier.,UK,5,2,"{'neg': 0.056, 'neu': 0.682, 'pos': 0.262, 'compound': 0.839}",0.839
Excellent Service,"The agents are very fast and efficient , they make sure they have heard all your requirements and provide the best option according to the requirements. I wish i can plan my holiday again this year with Destinology as everything is arranged from A to Z and i don't have to worry about anything.",UK,5,2,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.9466}",0.9466
Excellent Company,We’ve been using Destinology for years and they never disappoint. We have recently booked a holiday to Thailand with Louise Clough who was absolutely brilliant from start to finish. She was so attentive and professional and has arranged the perfect holiday for us. Would not hesitate to recommend Destinology!,UK,5,2,"{'neg': 0.034, 'neu': 0.681, 'pos': 0.285, 'compound': 0.9376}",0.9376
Top Service,From start to finish the travel consultant took the time to understand the requirements of our holiday and spent the time to find the resort and package that suited us .She carried out her role in a very professional manner and nothing was too much for her to deal with.Very pleased .,UK,5,2,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.6808}",0.6808
Christmas in Thailand,"I cannot thank Amy Williams enough. We travelled to Thailand for Christmas, having never been away at this time of year before and with 2 teenagers.. and everything was perfect!!Amy was patient with my requests,  professional, knowledgable and responded to all my questions swiftly! Our trip was amazing, hotels were perfect, locations excellent and connections worked like a dream!!Would highly recommend Destinology and will be using again!",UK,5,2,"{'neg': 0.026, 'neu': 0.732, 'pos': 0.242, 'compound': 0.9568}",0.9568
Leesa was so helpful - a great holiday booking experience,"Leesa was so helpful and made our booking experience fantastic. She listened to our requirements, came up with lots of options and helped secure great prices for nicely-timed flights and great accommodation. Now looking forward to the holidays we have booked with her.",UK,5,2,"{'neg': 0.0, 'neu': 0.644, 'pos': 0.356, 'compound': 0.9658}",0.9658
Excellent service from Gemma.,Excellent service from Gemma. Very friendly and knowledgeable. Didn’t feel pressured to book right away which isn’t always the case with other companies. All booked now and really happy with the price. Will most definitely book with Gemma again.,UK,5,2,"{'neg': 0.038, 'neu': 0.679, 'pos': 0.283, 'compound': 0.9228}",0.9228
Amazing service provided by Gemma Lardar,"Amazing service provided by Gemma Larder. She was very friendly and extremely helpful, I managed to book a holiday to celebrate our first year wedding anniversary with no hassle at all. She went above and beyond and price matched the holiday to another deal I saw online in fact she did it slightly cheaper than what I found. It was my first time booking through Destinology will definitely be booking again in the future thanks to Gemma!",UK,5,2,"{'neg': 0.023, 'neu': 0.711, 'pos': 0.266, 'compound': 0.9725}",0.9725
A lovely agent to deal with!,Maura was the nicest and most knowledgeable travel agent I have dealt with for a long time. Infact they were a small amount more expensive than another agent but my experience was so good with her even when we hit a hurdle (due to hotel not her) that I went back to book through her! Highly recommend.,UK,5,2,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.9041}",0.9041
"Helpful, flexible and dedicated help from destinology","Craig Robinson is fantastic. Really helpful in designing our holiday, gives good advice and lots of suggestions on places to stay and responds and communicates really well.",UK,5,2,"{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.9285}",0.9285
Thank you Emma Harvard for your help.,"Thank you Emma Harvard for your help.really patient and understanding. great customer service we didn’t feel rushed at all,  really took her time to help us find the best holiday to meet our needs. Definitely recommend destinology",UK,5,2,"{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.9657}",0.9657
Georgia was completely honest and…,"Georgia was completely honest and sensible with us from the start, we aren’t young anymore and some questions we asked her were a little daft but she had all the patience in the world.",UK,5,2,"{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.3174}",0.3174
Professional and Speedy personalised service,Craig's support to getting our holiday booked was fantastic. He was as ever timely and informative; turning around the proposal which met our needs in super quick time. Likewise his follow up is excellent.,UK,5,2,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.9485}",0.9485
Christine’s Service was First Class,Christine was excellent. Her knowledge of the hotels made booking the right hotel for us much easier. She managed to find the hotel much cheaper than any other agents. I will be using Destinology again to book our next trip.,UK,5,2,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.7579}",0.7579
Responsive,"Responsive, helpful & highly recommend. Nothing was too much trouble.",UK,5,2,"{'neg': 0.161, 'neu': 0.357, 'pos': 0.482, 'compound': 0.659}",0.659
"Destinology - Nailed it, again!",Super friendly and efficient both pre booking and after booking. So wonderful to deal with a company and travel consultant who values customers even when they have got the sale. Emma O’Reilly has been great to deal with and I won’t hesitate to book with her again. Thank you!,UK,5,2,"{'neg': 0.031, 'neu': 0.609, 'pos': 0.36, 'compound': 0.9724}",0.9724
Friendly and informative,"Amy was extremely friendly and very informative, going out of her way to give advice. My proposal was provided with great clarity and a 5star service.",UK,5,2,"{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.8832}",0.8832
Great telesales help,"I have booked with Destinology in the past. I booked this time again Emma O’Reilly, from Destinology.She was excellent. Gave me lots of time answered all my questions extremely patiently. I'd highly recommend booking with her.",UK,5,2,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.7574}",0.7574
Joanne was friendly helpful and…,"Joanne was friendly helpful and effeicient, Making our booking stressfree. Thank You. We look forward to our holiday.",UK,5,2,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.8807}",0.8807
Mauritius,We had a pretty good idea of what we wanted before we rang but Anna was extremely helpful and not at all “pushy”. The whole booking experience was easy and efficient.,UK,5,2,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.9407}",0.9407
Very helpful and booked the holiday we wanted,"Very helpful and booked the holiday we wanted very efficiently. Georgia was very efficient and the personal service, makes any after questions very quick.",UK,5,2,"{'neg': 0.0, 'neu': 0.627, 'pos': 0.373, 'compound': 0.8974}",0.8974
last minute trip to Dubai for my wife's Xmas present,"So I decided to treat my wife to a 5 day January break to ""somewhere hot"" for her Xmas present.  I found Destinology on the internet and as soon as I registered my interest I had a call from Ryan within the hour.  To say his knowledge and professionalism is probably the best I ever experienced is a slight understatement.  After finding out what my ""wish list"" was, we agreed that Dubai would be the best bet, he then came in with an unbelievable deal on the Palm and all inclusive too, so nothing else to worry about.I will be using Ryan again undoubtedly for my next trip/s as it really was very easy from start to finish and I have a happy wife, which is the best thing of all.",UK,5,2,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.9866}",0.9866
Knowledgeable and friendly,Christopher Ford was very knowledgeable about the flight and destination; and patient when we changed our mind.Recommended and we will use again.,UK,5,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
Destinology was very professional and…,"Destinology was very professional and made choosing our holiday a quick and easy process.  The lady who helped us was patient , professional and really listened to what we requested.",UK,5,2,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.6808}",0.6808
Wow! What a service. The streamlining of all aspects of the…,"The streamlining of all aspects of the service from booking online, agent Amelia who was amazing and helpful, the start to finish, choice of hotel was better than imagined and the support and help of Hotelwas beyond belief. Connections was the best. So pleased to be whisked off from airport to my Hotel bed in under an hour. Never been so happy with a choice of Holiday.  service was really professional and drivers were particularly helpful. Will be back with you sooner than later.",UK,5,2,"{'neg': 0.0, 'neu': 0.689, 'pos': 0.311, 'compound': 0.9866}",0.9866
Always very professional and attentive…,"Always very professional and attentive advisors. Anna, who made our booking, was all we could ask for in being very thorough and helpful with detailed information and answered all questions posed. If unable to answer Anna always phoned us back as promised. Truly an excellent company to deal with, which going forward, has given my wife and I complete confidence in our holiday and all our wishes fulfilled. Thank you.",UK,5,2,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.9721}",0.9721
Sara have been amazing working with me…,Sara have been amazing working with me via emails! She listened and adjusted to my requirements for the holiday and I have received the package just exactly how I want it to be!,UK,5,2,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.8118}",0.8118
First Class,We have been booking holidays with Amy Williams for many years. She is very knowledgeable and thorough. I am not easiest of clients as I keep changing my requirements.   But she just carry’s on with my requests and comes back with a new quote. Nothing  is too much. I know I am getting the best price and the best service.,UK,5,2,"{'neg': 0.023, 'neu': 0.788, 'pos': 0.189, 'compound': 0.9292}",0.9292
Great Experience,"Faisal was just brilliant. Listened to what I wanted, liaised with the resort and came back with a really great deal. Fantastic communication throughout. Highly recommend",UK,5,2,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.9418}",0.9418
Personal Touch,Very quick to respond and able to adapt quotes easily to match your personal requirements,UK,5,2,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.34}",0.34
Craig Robinson is amazing,Craig Robinson is amazing.  He is proactive in finding great holidays suitable for a family of five with varying interests and ages to accommodate.,UK,5,2,"{'neg': 0.0, 'neu': 0.554, 'pos': 0.446, 'compound': 0.936}",0.936
Emma O'Reilly went above and beyond as…,Emma O'Reilly went above and beyond as the original hotel we wanted was closed - very clear called back when agreed and took all the hassle away - 5th time I have used destinology and will keep coming back,UK,5,2,"{'neg': 0.0, 'neu': 0.832, 'pos': 0.168, 'compound': 0.7425}",0.7425
25th Wedding Anniversary Trip!,"I have just booked a trip to Mauritius for October 2023 for our 25th Wedding Anniversary through Louise Clough at Destinology. Louise arranged our 20th Anniversary trip back in 2018 to Bangkok, Koh Samui and Singapore and it was simply superb. So, we were keen to use Louise again.Our demands were quite specific to coincide with our actual anniversary date, flight seat upgrades, specific accomodation and board requirements etc. Nothing was too much trouble and all sorted painlessly.Due to the fact this was an expensive holiday, I did also sanity check pricing elsewhere for my own curiosity, and Destinology were competitive as usual which we were really pleased about.Now, just looking forward to Octber 2023! Thanks again Louise and Destinology!Thoroughly recommended and a worthwhile 5 star review!",UK,5,2,"{'neg': 0.019, 'neu': 0.826, 'pos': 0.155, 'compound': 0.955}",0.955
Jo Britton was amazing,"Jo Britton was amazing Called when she said she would, understood & accommodated our requirementsFound us a great holiday Thanks Jo x",UK,5,2,"{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.926}",0.926
